open,high,low,close,volume
97890.01,97989.48,97629.38,97836.77,666.548658
97836.77,97845.11,97333.38,97489.14,603.93148
97489.14,97713.19,97120.0,97703.56,895.267651
97703.56,98030.64,97532.75,97964.76,632.755466
97964.76,98020.61,97463.47,97630.27,277.757368
97630.27,97725.47,97377.22,97672.5,490.476995
97672.5,97990.7,97614.69,97916.21,816.820328
97916.21,98401.65,97916.21,98190.21,869.273149
98190.21,98564.52,98190.21,98392.46,703.974536
98392.46,98426.26,98086.15,98184.67,659.836634
98184.67,98272.26,97878.08,98161.52,632.156313
98161.52,98271.99,97905.59,98248.45,625.641601
98248.45,98410.66,98028.43,98344.13,563.559025
98344.13,98413.85,98166.74,98407.08,429.256856
98407.08,98452.82,97935.4,98050.55,566.840311
98050.55,98197.11,97803.16,97939.65,690.976764
97939.65,97979.13,97433.88,97663.63,881.707124
97663.63,97765.0,97220.9,97264.62,1743.492719
97264.62,97411.92,96417.04,96899.13,2847.023524
96899.13,97617.74,96736.49,97222.5,1586.005753
97222.5,97230.84,96546.89,97030.33,2505.083324
97030.33,97092.58,95901.98,95902.01,1718.050853
95902.01,96761.6,95647.38,96413.32,1372.578329
96413.32,96427.79,95739.12,95891.69,1078.429289
95891.69,96557.15,95821.55,96529.05,792.276329
96529.05,96529.05,96114.96,96314.99,614.65885
96314.99,96839.19,96182.86,96814.45,668.531204
96814.45,96992.28,96577.41,96971.4,663.503224
96971.4,98019.11,96964.26,98012.8,817.250022
98012.8,98370.69,97525.88,97927.53,997.655185
97927.53,98062.04,97536.13,97724.78,1400.873969
97724.78,97859.73,96881.51,97199.31,1493.691953
97199.31,97721.51,97189.93,97362.06,1080.629394
97362.06,97892.84,97329.3,97879.98,918.413094
97879.98,98045.93,97553.4,97800.85,965.147234
97800.85,98265.29,97774.09,98079.09,1057.129217
98079.09,98364.05,98036.83,98074.3,1148.447234
98074.3,98264.45,97730.76,98039.08,1123.662441
98039.08,98280.91,97842.89,98192.03,1137.5494
98192.03,98870.0,98179.68,98482.97,1724.520386
